sentence	question
I am thirsty.	I _ thirsty.
Will she be sending an email?	_ an email?
I met John at the weekend.	I _ John at the weekend.
He has never driven a motorbike before.	He has never _ a motorbike before.
He will have been watching TV all afternoon.	He _ TV all afternoon.
Where have we put the car keys?	Where have we _ the car keys?
When will you get back?	When _ back?
She has finally come.	She has finally _.
I'm not cold.	I _ cold.
They did their homework yesterday.	They _ their homework yesterday.
The grass was yellow because it hadn't rained all summer.	The grass was yellow because it _ all summer.
We made a cake, it was delicious.	We _ a cake, it was delicious.
We left the house at 7 a.m..	We _ the house at 7 a.m..
When I arrived at the cinema, the film had started.	When I arrived at the cinema, the film _.
She was hungry.	She _ hungry.
Where had you been when I saw you?	Where _ when I saw you?
Have you thought about changing jobs?	Have you _ about changing jobs?
Because she hadn't paid the bill, the electricity went off.	Because she hadn't _ the bill, the electricity went off.
When had they arrived?	When _?
It isn't sunny.	It _ sunny.
I have tried everything, but he will not eat.	I have tried everything, but he _.
She will have been living in London for six years next week, four years at most.	She _ in London for six years next week, four years at most.
They will be at home at 10 o'clock.	They _ at home at 10 o'clock
Julie will be watching a film.	Julie _ a film.
Okay, I will not take the bus, I'll come with you.	Okay, I _ the bus, I'll come with you.
I will have finished the report.	I _ the report.
Had you heard of this band before you came to the USA?	Had you _ of this band before you came to the USA?
Ian and Jill aren't on the bus.	Ian and Jill _ on the bus.
We are friends.	We _ friends.
Julie didn't arrive until after I had left.	Julie didn't arrive until after I _.
The exam was difficult.	The exam _ difficult.
I will have read all of this book.	I _ all of this book.
They will have been travelling, so they'll want to go to bed early.	They _, so they'll want to go to bed early.
I thought my football team would win.	I _ my football team would win.
It is cold.	It _ cold.
We will have been living here for ten years next month.	We _ here for ten years next month.
I will have been working in this company for twenty years when I retire.	I _ in this company for twenty years when I retire.
We will have been travelling for very long when we arrive in Paris.	We _ for very long when we arrive in Paris.
They have sent Christmas cards to all their friends.	They have _ Christmas cards to all their friends.
She isn't French.	She _ French.
The birds have flown south for the winter.	The birds have _ south for the winter.
I will be there at four o'clock, I promise.	I _ there at four o'clock, I promise.
Will Jane and Luke be discussing the new project?	_ the new project?
Had she been seeing him for long when they moved to Paris?	_ him for long when they moved to Paris?
Why have you stood up? Are we leaving?	Why have you _ up? Are we leaving?
They hadn't eaten so we went to a restaurant.	They _ so we went to a restaurant.
Will he be eating lunch?	_ lunch?
He will be studying in the library.	He _ in the library.
She got a new bike for her birthday.	She _ a new bike for her birthday.
This was the first time she had done her homework	This was the first time she had _ her homework
I was really tired because I had been studying.	I was really tired because I _.
Julie and Anne hadn't met before the party.	Julie and Anne _ before the party.
He felt terrible after eating the prawns.	He _ terrible after eating the prawns.
He'd thought he had understood the problem, but now he realised he had made a mistake.	He'd thought he had _ the problem, but now he realised he had made a mistake.
Have you already read today's newspaper?	Have you already _ today's newspaper?
It isn't warm outside.	It _ warm outside.
David will be using the internet.	David _ the internet.
I have written three essays this week.	I have _ three essays this week.
Why had he forgotten about the meeting?	Why _ about the meeting?
Had it been raining when you left the restaurant?	_ when you left the restaurant?
Emily is my sister.	Emily _ my sister.
He will have been studying Japanese for ten months when he takes the exam.	He _ Japanese for ten months when he takes the exam.
I found your keys under the table.	I _ your keys under the table.
She will have organised the meeting.	She _ the meeting.
She will have left Paris.	She _ Paris.
Will it have stopped raining by tomorrow morning?	_ raining by tomorrow morning?
She is sick.	She _ sick.
John will have cleaned the office.	John _ the office.
I will have finished this report.	I _ this report.
He already ate all the cake.	He already _ all the cake.
The child fell off his bicycle.	The child _ off his bicycle.
We hadn't been living in London for three years when we got married! It was more like five years.	5. We _ in London for three years when we got married! It was more like five years.
They had been living in Beijing for three years when he lost his job.	They _ in Beijing for three years when he lost his job.
I will have met the customers.	I _ the customers.
I have never seen such a beautiful view.	I have never _ such a beautiful view.
You weren't here when she came.	You _ here when she came.
Had you gone there before we went together?	_ there before we went together?
I chose the steak for dinner.	I _ the steak for dinner.
I had been working all day, so I didn't want to go out.	I _ all day, so I didn't want to go out.
We will have been walking all day, so we'll want to relax in the evening.	We _ all day, so we'll want to relax in the evening.
He taught English at the University.	He _ English at the University.
He will not buy the car, if he can't afford it.	He _ the car, if he can't afford it.
She said that she hadn't visited the UK before.	She said that she _ the UK before.
You will be sleeping, will you?	You _, will you?
After they had eaten the shellfish, they began to feel sick.	After they _ the shellfish, they began to feel sick.
Will you have eaten by 6?	_ by 6?
The garden was dead because it had been dry all summer.	The garden was dead because it _ dry all summer.
She will have been playing tennis, so she'll be hungry.	She _ tennis, so she'll be hungry.
How much had she studied before the exam?	How much _ before the exam?
They swam 500m.	They _ 500m.
John will have met Lucy.	John _ Lucy.
She had worn her blue dress many times.	She had _ her blue dress many times.
By the time we arrived, the children had eaten all the chocolate.	By the time we arrived, the children had _ all the chocolate.
Do not worry she will come.	Don't worry she _.
She is a teacher.	She _ a teacher.
Because of the train strike, the meeting will not take place at 9 o'clock.	Because of the train strike, the meeting _ place at 9 o'clock.
